Well No., Common Name, Year, Yr_Count, Yr_RMSE, Q1_Count, Q1_RMSE, Q2_Count, Q2_RMSE, Q3_Count, Q3_RMSE, Q4_Count, Q4_RMSE
w01,Hernstadt,All Years,   310,12.10,,,,,,,,,
w01,Hernstadt,  1990,     3,1.90,, ,, ,, ,     3,1.90,
w01,Hernstadt,  1991,    14,1.56,     4,1.69,     5,1.17,     3,1.61,     2,2.02,
w01,Hernstadt,  1992,    14,1.78,     4,1.40,     3,1.88,     3,1.99,     4,1.86,
w01,Hernstadt,  1993,    11,1.60,     2,1.33,     4,1.61,     3,1.67,     2,1.73,
w01,Hernstadt,  1994,    13,1.79,     4,1.71,     3,1.94,     3,1.86,     3,1.66,
w01,Hernstadt,  1995,    13,2.05,     4,1.33,     3,2.22,     2,2.23,     4,2.39,
w01,Hernstadt,  1996,    12,2.17,     3,2.11,     2,2.24,     4,2.20,     3,2.16,
w01,Hernstadt,  1997,    12,2.14,     3,1.80,     2,2.44,     4,2.22,     3,2.13,
w01,Hernstadt,  1998,    11,1.75,     4,1.66,     2,1.89,     3,1.83,     2,1.66,
w01,Hernstadt,  1999,    12,2.05,     3,1.97,     3,2.08,     3,2.06,     3,2.07,
w01,Hernstadt,  2000,    13,2.19,     3,1.92,     4,2.29,     2,2.20,     4,2.27,
w01,Hernstadt,  2001,    12,2.24,     2,2.27,     3,2.21,     4,2.20,     3,2.29,
w01,Hernstadt,  2002,    12,2.27,     3,2.35,     3,2.36,     2,2.25,     4,2.13,
w01,Hernstadt,  2003,    12,2.21,     3,2.34,     3,2.15,     3,2.09,     3,2.26,
w01,Hernstadt,  2004,    12,2.42,     2,2.35,     4,2.48,     3,2.42,     3,2.39,
w01,Hernstadt,  2005,    11,2.18,     3,1.80,     3,2.41,     3,2.28,     2,2.19,
w01,Hernstadt,  2006,    13,1.96,     4,1.83,     2,1.85,     3,1.94,     4,2.15,
w01,Hernstadt,  2007,    12,2.30,     3,2.38,     3,2.29,     2,2.19,     4,2.30,
w01,Hernstadt,  2008,    12,2.10,     4,1.90,     2,2.24,     3,2.18,     3,2.18,
w01,Hernstadt,  2009,    13,2.13,     4,2.13,     3,2.30,     3,2.17,     3,1.92,
w01,Hernstadt,  2010,    12,1.95,     4,1.89,     3,2.05,     2,2.11,     3,1.82,
w01,Hernstadt,  2011,    12,1.67,     3,1.35,     4,1.70,     2,1.86,     3,1.80,
w01,Hernstadt,  2012,    12,0.66,     3,0.94,     4,0.61,     3,0.44,     2,0.54,
w01,Hernstadt,  2013,    12,1.21,     3,0.95,     4,1.27,     2,1.24,     3,1.34,
w01,Hernstadt,  2014,    11,26.57,     3,1.88,     2,1.84,     3,1.49,     3,50.80,
w01,Hernstadt,  2015,    11,51.00,     3,51.31,     3,50.87,     1, ,     4,50.91,
w02,Sweeney,All Years,   114,28.48,,,,,,,,,
w02,Sweeney,  1990,     3,24.66,, ,, ,, ,     3,24.66,
w02,Sweeney,  1991,    23,27.48,     7,25.95,     9,28.41,     3,27.96,     4,27.58,
w02,Sweeney,  1992,    14,27.87,     4,27.66,     3,28.69,     3,28.23,     4,27.18,
w02,Sweeney,  1993,    13,28.64,     4,29.32,     4,28.95,     3,28.15,     2,27.36,
w02,Sweeney,  1994,    13,27.41,     4,27.86,     3,28.56,     3,27.25,     3,25.72,
w02,Sweeney,  1995,    13,29.64,     4,30.14,     3,29.69,     2,29.26,     4,29.27,
w02,Sweeney,  1996,    26,29.49,     3,30.22,     1, ,     4,29.13,    18,29.44,
w02,Sweeney,  1997,     9,29.66,     4,30.27,     2,29.59,     3,28.87,, ,
w03,Druid Hills,All Years,   119,11.88,,,,,,,,,
w03,Druid Hills,  1990,     3,9.36,, ,, ,, ,     3,9.36,
w03,Druid Hills,  1991,    14,12.17,     4,12.56,     4,13.73,     3,11.55,     3,9.78,
w03,Druid Hills,  1992,    12,9.05,     3,12.60,     2,12.26,     3,5.91,     4,5.06,
w03,Druid Hills,  1993,    11,9.85,     2,13.83,     4,11.04,     2,6.65,     3,6.02,
w03,Druid Hills,  1994,    12,7.49,     3,7.97,     2,7.79,     4,7.04,     3,7.39,
w03,Druid Hills,  1995,    11,11.58,     4,13.93,     1, ,     2,9.23,     4,8.56,
w03,Druid Hills,  1996,    11,11.30,     3,12.21,     2,13.65,     3,9.40,     3,10.30,
w03,Druid Hills,  1997,    12,13.40,     3,17.26,     2,12.62,     4,10.71,     3,12.71,
w03,Druid Hills,  1998,    12,16.55,     3,19.95,     2,20.60,     4,13.60,     3,12.95,
w03,Druid Hills,  1999,    11,11.85,     2,13.36,     3,13.65,     3,9.81,     3,10.63,
w03,Druid Hills,  2000,    10,13.72,     3,13.66,     4,15.64,     2,10.67,     1, ,
w04,Scarlet 6,All Years,    40,4.67,,,,,,,,,
w04,Scarlet 6,  1990,     3,9.50,, ,, ,, ,     3,9.50,
w04,Scarlet 6,  1991,    11,4.89,     3,7.01,     3,5.78,     3,1.79,     2,1.64,
w04,Scarlet 6,  1992,    13,2.73,     3,2.47,     3,2.54,     3,3.32,     4,2.54,
w04,Scarlet 6,  1993,    12,4.09,     2,1.71,     3,1.90,     4,4.49,     3,5.87,
w04,Scarlet 6,  1994,     1, ,     1, ,, ,, ,, ,
w05,Reimers,All Years,    83,8.74,,,,,,,,,
w05,Reimers,  1990,     3,1.40,, ,, ,, ,     3,1.40,
w05,Reimers,  1991,    25,5.58,     9,4.05,    10,6.99,     3,6.43,     3,2.47,
w05,Reimers,  1992,    27,8.87,    16,8.64,     3,11.80,     3,10.61,     5,5.88,
w05,Reimers,  1993,    14,11.69,     5,10.85,     4,11.25,     3,13.30,     2,11.96,
w05,Reimers,  1994,     2,13.80,     2,13.80,, ,, ,, ,
w05,Reimers,  1995,    12,9.75,    11,9.68,     1, ,, ,, ,
w06,Coast Ranch,All Years,    20,2.83,,,,,,,,,
w06,Coast Ranch,  1990,     1, ,, ,, ,, ,     1, ,
w06,Coast Ranch,  1991,     6,3.02,     1, ,     4,1.95,, ,     1, ,
w06,Coast Ranch,  1992,     5,3.08,     2,2.59,, ,, ,     3,3.37,
w06,Coast Ranch,  1993,     8,1.53,     3,0.84,     3,1.17,     2,2.51,, ,
w07,SP HWY 1,All Years,    41,0.85,,,,,,,,,
w07,SP HWY 1,  1990,     2,1.45,, ,, ,, ,     2,1.45,
w07,SP HWY 1,  1991,    25,0.83,     5,1.40,     9,0.36,     5,0.74,     6,0.77,
w07,SP HWY 1,  1992,     6,0.25,     3,0.34,, ,, ,     3,0.11,
w07,SP HWY 1,  1993,     8,0.98,     3,1.22,     3,0.78,     2,0.82,, ,
w08,Magnasco 2,All Years,    27,4.55,,,,,,,,,
w08,Magnasco 2,  1990,     3,6.42,, ,, ,, ,     3,6.42,
w08,Magnasco 2,  1991,    11,2.87,     3,3.82,     3,1.00,     2,2.70,     3,3.12,
w08,Magnasco 2,  1992,     5,6.75,     2,6.97,, ,, ,     3,6.60,
w08,Magnasco 2,  1993,     8,3.84,     3,5.66,     3,2.65,     2,0.51,, ,
w09,Los Laureles 6,All Years,   287,13.42,,,,,,,,,
w09,Los Laureles 6,  1990,     3,4.08,, ,, ,, ,     3,4.08,
w09,Los Laureles 6,  1991,    11,7.37,     3,9.69,     3,8.84,     3,4.00,     2,4.09,
w09,Los Laureles 6,  1992,    13,6.88,     3,9.20,     3,8.99,     3,4.13,     4,4.10,
w09,Los Laureles 6,  1993,    12,3.94,     2,3.40,     3,3.90,     4,4.05,     3,4.15,
w09,Los Laureles 6,  1994,    12,6.05,     3,9.69,     3,4.25,     3,4.15,     3,4.12,
w09,Los Laureles 6,  1995,    12,4.99,     3,7.34,     3,3.74,     3,3.95,     3,4.03,
w09,Los Laureles 6,  1996,    12,3.99,     3,3.95,     3,3.89,     3,4.05,     3,4.05,
w09,Los Laureles 6,  1997,    12,4.23,     3,4.14,     3,4.41,     3,4.27,     3,4.08,
w09,Los Laureles 6,  1998,    12,9.23,     3,9.33,     3,9.76,     3,4.00,     3,11.93,
w09,Los Laureles 6,  1999,    12,4.53,     3,4.53,     3,4.59,     3,4.53,     3,4.47,
w09,Los Laureles 6,  2000,     8,4.58,     3,4.49,     3,4.64,     2,4.61,, ,
w09,Los Laureles 6,  2002,    10,4.76,     1, ,     3,5.13,     3,4.71,     3,4.42,
w09,Los Laureles 6,  2003,    12,4.59,     3,4.73,     3,4.56,     3,4.41,     3,4.67,
w09,Los Laureles 6,  2004,    12,4.67,     3,4.61,     3,4.74,     3,4.68,     3,4.65,
w09,Los Laureles 6,  2005,    12,4.54,     3,4.31,     3,4.63,     3,4.55,     3,4.67,
w09,Los Laureles 6,  2006,    12,4.29,     3,4.43,     3,4.27,     3,4.51,     3,3.93,
w09,Los Laureles 6,  2007,    12,4.67,     3,4.75,     3,4.60,     3,4.71,     3,4.61,
w09,Los Laureles 6,  2008,    11,4.55,     3,4.44,     2,4.75,     3,4.55,     3,4.50,
w09,Los Laureles 6,  2009,    12,4.56,     3,4.40,     3,4.84,     3,4.55,     3,4.46,
w09,Los Laureles 6,  2010,    10,7.67,     1, ,     3,9.50,     3,4.00,     3,3.32,
w09,Los Laureles 6,  2011,    12,4.07,     3,4.05,     3,4.13,     3,4.14,     3,3.93,
w09,Los Laureles 6,  2012,    12,8.33,     3,10.69,     3,8.28,     3,2.69,     3,9.34,
w09,Los Laureles 6,  2013,    11,5.87,     3,9.36,     3,3.76,     3,3.67,     2,4.07,
w09,Los Laureles 6,  2014,    12,23.18,     3,4.26,     3,4.13,     3,3.43,     3,45.86,
w09,Los Laureles 6,  2015,    13,45.16,     3,39.11,     3,39.73,     3,49.52,     4,49.59,
w10,Los Laureles 5,All Years,   289,13.65,,,,,,,,,
w10,Los Laureles 5,  1990,     3,5.91,, ,, ,, ,     3,5.91,
w10,Los Laureles 5,  1991,    11,7.70,     3,9.29,     3,8.45,     3,5.93,     2,6.03,
w10,Los Laureles 5,  1992,    13,7.65,     3,9.38,     3,8.98,     3,6.01,     4,6.04,
w10,Los Laureles 5,  1993,    12,5.80,     2,5.00,     3,5.88,     4,5.95,     3,6.01,
w10,Los Laureles 5,  1994,    11,6.82,     3,8.47,     3,6.19,     2,6.03,     3,6.02,
w10,Los Laureles 5,  1995,    12,7.54,     3,8.29,     3,9.12,     3,6.03,     3,6.26,
w10,Los Laureles 5,  1996,    12,6.16,     3,6.14,     3,6.06,     3,6.13,     3,6.30,
w10,Los Laureles 5,  1997,    12,7.39,     3,9.72,     3,6.74,     3,6.33,     3,6.23,
w10,Los Laureles 5,  1998,    12,6.68,     3,5.64,     3,8.04,     3,6.09,     3,6.71,
w10,Los Laureles 5,  1999,    12,6.43,     3,6.55,     3,6.36,     3,6.32,     3,6.50,
w10,Los Laureles 5,  2000,     8,6.53,     3,6.48,     3,6.49,     2,6.69,, ,
w10,Los Laureles 5,  2002,    10,6.73,     1, ,     3,6.94,     3,6.67,     3,6.59,
w10,Los Laureles 5,  2003,    12,6.55,     3,6.68,     3,6.56,     3,6.33,     3,6.63,
w10,Los Laureles 5,  2004,    12,6.60,     3,6.65,     3,6.65,     3,6.54,     3,6.57,
w10,Los Laureles 5,  2005,    12,6.45,     3,6.12,     3,6.60,     3,6.55,     3,6.54,
w10,Los Laureles 5,  2006,    12,6.13,     3,6.27,     3,5.85,     3,6.44,     3,5.94,
w10,Los Laureles 5,  2007,    12,6.61,     3,6.67,     3,6.52,     3,6.77,     3,6.47,
w10,Los Laureles 5,  2008,    12,6.34,     3,6.32,     3,6.47,     3,6.30,     3,6.28,
w10,Los Laureles 5,  2009,    12,6.46,     3,6.51,     3,6.65,     3,6.52,     3,6.16,
w10,Los Laureles 5,  2010,    12,6.54,     3,7.85,     3,5.98,     3,6.20,     3,5.95,
w10,Los Laureles 5,  2011,    12,5.90,     3,5.98,     3,5.79,     3,5.90,     3,5.94,
w10,Los Laureles 5,  2012,    12,6.99,     3,7.88,     3,7.50,     3,5.08,     3,7.14,
w10,Los Laureles 5,  2013,    11,6.43,     3,7.64,     2,5.68,     3,5.93,     3,6.05,
w10,Los Laureles 5,  2014,    12,23.10,     3,6.19,     3,5.94,     3,5.36,     3,45.08,
w10,Los Laureles 5,  2015,    13,44.45,     3,41.73,     4,43.42,     3,46.27,     3,46.55,
w11,Scarlett 8,All Years,   248,6.94,,,,,,,,,
w11,Scarlett 8,  1990,     3,8.90,, ,, ,, ,     3,8.90,
w11,Scarlett 8,  1991,    11,4.30,     3,7.74,     3,2.06,     3,1.41,     2,1.51,
w11,Scarlett 8,  1992,    13,3.28,     3,3.65,     3,3.94,     3,1.94,     4,3.24,
w11,Scarlett 8,  1993,    12,3.41,     2,2.46,     3,1.21,     4,3.52,     3,4.93,
w11,Scarlett 8,  1994,    12,6.57,     3,5.81,     3,6.72,     3,6.94,     3,6.73,
w11,Scarlett 8,  1995,    12,5.08,     3,6.57,     3,3.62,     3,4.13,     3,5.49,
w11,Scarlett 8,  1996,    12,6.70,     3,6.11,     3,6.80,     3,6.91,     3,6.95,
w11,Scarlett 8,  1997,    12,7.15,     3,7.91,     3,6.39,     3,6.97,     3,7.26,
w11,Scarlett 8,  1998,    12,5.39,     3,5.43,     3,6.30,     3,4.39,     3,5.28,
w11,Scarlett 8,  1999,    12,5.73,     3,5.94,     3,5.87,     3,5.16,     3,5.92,
w11,Scarlett 8,  2000,    10,11.32,     3,13.11,     3,13.60,     2,7.08,     2,7.45,
w11,Scarlett 8,  2002,    11,7.67,     2,7.70,     3,7.98,     3,7.73,     3,7.24,
w11,Scarlett 8,  2003,    12,10.04,     3,11.42,     3,12.61,     3,7.49,     3,7.61,
w11,Scarlett 8,  2004,    12,7.93,     3,7.25,     3,8.82,     3,7.87,     3,7.70,
w11,Scarlett 8,  2005,    11,8.96,     2,10.81,     3,9.67,     3,7.98,     3,7.71,
w11,Scarlett 8,  2006,    11,9.05,     3,8.64,     3,11.47,     2,7.50,     3,7.54,
w11,Scarlett 8,  2007,    12,7.87,     3,9.13,     3,7.73,     3,7.33,     3,7.11,
w11,Scarlett 8,  2008,    12,4.24,     3,5.03,     3,5.17,     3,3.29,     3,3.01,
w11,Scarlett 8,  2009,    12,5.69,     3,3.87,     3,6.06,     3,6.52,     3,5.95,
w11,Scarlett 8,  2010,    12,6.91,     3,7.94,     3,6.61,     3,6.70,     3,6.27,
w11,Scarlett 8,  2011,    12,6.41,     3,6.53,     3,5.97,     3,6.71,     3,6.42,
w11,Scarlett 8,  2012,    10,6.43,     3,6.30,     3,6.35,     3,6.67,     1, ,
w12,Schulte Prod,All Years,   288,7.70,,,,,,,,,
w12,Schulte Prod,  1990,     3,8.29,, ,, ,, ,     3,8.29,
w12,Schulte Prod,  1991,    10,8.85,     2,11.08,     3,11.57,     3,4.37,     2,6.28,
w12,Schulte Prod,  1992,    13,8.62,     3,7.00,     3,8.47,     3,8.22,     4,10.03,
w12,Schulte Prod,  1993,    12,8.70,     2,10.54,     3,0.47,     4,8.17,     3,11.81,
w12,Schulte Prod,  1994,    11,9.33,     3,11.00,     2,9.43,     3,8.67,     3,8.01,
w12,Schulte Prod,  1995,    12,4.36,     3,8.64,     3,0.63,     3,0.42,     3,0.86,
w12,Schulte Prod,  1996,    12,3.23,     3,1.60,     3,1.27,     3,4.94,     3,3.62,
w12,Schulte Prod,  1997,    12,5.17,     3,1.38,     3,5.84,     3,4.37,     3,7.20,
w12,Schulte Prod,  1998,    12,4.57,     3,4.54,     3,0.51,     3,2.60,     3,7.47,
w12,Schulte Prod,  1999,    12,7.22,     3,6.54,     3,7.36,     3,8.74,     3,5.93,
w12,Schulte Prod,  2000,    12,5.68,     3,4.67,     3,5.53,     3,6.99,     3,5.27,
w12,Schulte Prod,  2001,     8,3.81,     3,3.26,     3,4.90,, ,     2,2.46,
w12,Schulte Prod,  2002,     7,5.83,, ,     1, ,     3,4.57,     3,7.54,
w12,Schulte Prod,  2003,    12,4.10,     3,4.60,     3,2.26,     3,5.11,     3,3.84,
w12,Schulte Prod,  2004,    12,7.18,     3,2.70,     3,6.58,     3,10.28,     3,7.06,
w12,Schulte Prod,  2005,    12,9.66,     3,9.65,     3,9.74,     3,12.93,     3,4.21,
w12,Schulte Prod,  2006,    12,8.25,     3,13.08,     3,6.73,     3,2.15,     3,7.14,
w12,Schulte Prod,  2007,     6,7.50,     3,7.16,     3,7.82,, ,, ,
w12,Schulte Prod,  2008,    12,4.96,     3,2.77,     3,3.16,     3,6.66,     3,6.03,
w12,Schulte Prod,  2009,    12,7.49,     3,5.37,     3,11.68,     3,6.54,     3,4.07,
w12,Schulte Prod,  2010,    11,5.13,     3,5.79,     2,9.03,     3,1.84,     3,2.30,
w12,Schulte Prod,  2011,    12,4.23,     3,1.92,     3,1.47,     3,0.32,     3,8.09,
w12,Schulte Prod,  2012,    11,7.74,     3,0.59,     2,0.20,     3,7.52,     3,12.75,
w12,Schulte Prod,  2013,    11,18.69,     2,11.51,     3,12.87,     3,24.92,     3,20.16,
w12,Schulte Prod,  2014,    12,7.25,     3,8.94,     3,7.19,     3,7.67,     3,4.43,
w12,Schulte Prod,  2015,    12,8.23,     3,4.96,     3,11.90,     3,2.03,     3,10.01,
w13,Pearce Prod 1,All Years,   231,40.46,,,,,,,,,
w13,Pearce Prod 1,  1990,     3,2.14,, ,, ,, ,     3,2.14,
w13,Pearce Prod 1,  1991,    11,2.08,     3,3.80,     3,0.32,     3,1.02,     2,0.69,
w13,Pearce Prod 1,  1992,    13,51.95,     3,2.25,     3,3.53,     3,45.63,     4,84.83,
w13,Pearce Prod 1,  1993,    12,10.52,     2,18.66,     3,7.19,     4,8.80,     3,7.44,
w13,Pearce Prod 1,  1994,    12,23.19,     3,7.84,     3,4.50,     3,39.01,     3,23.39,
w13,Pearce Prod 1,  1995,    12,4.29,     3,5.00,     3,3.14,     3,4.31,     3,4.47,
w13,Pearce Prod 1,  1996,    12,36.81,     3,3.36,     3,3.66,     3,70.14,     3,21.77,
w13,Pearce Prod 1,  1997,     8,5.12,     1, ,     2,5.11,     3,4.41,     2,4.94,
w13,Pearce Prod 1,  1998,     2,47.77,     1, ,, ,     1, ,, ,
w13,Pearce Prod 1,  1999,     2,4.97,     1, ,, ,     1, ,, ,
w13,Pearce Prod 1,  2000,     7,11.62,     1, ,     2,3.04,     3,15.83,     1, ,
w13,Pearce Prod 1,  2002,     1, ,, ,, ,, ,     1, ,
w13,Pearce Prod 1,  2004,    12,24.38,     3,12.08,     3,15.41,     3,31.71,     3,31.44,
w13,Pearce Prod 1,  2005,    12,28.40,     3,16.54,     3,15.90,     3,47.39,     3,21.30,
w13,Pearce Prod 1,  2006,    12,61.11,     3,14.70,     3,34.53,     3,90.94,     3,72.51,
w13,Pearce Prod 1,  2007,    12,59.05,     3,12.80,     3,41.69,     3,97.77,     3,49.84,
w13,Pearce Prod 1,  2008,     8,48.73,     2,17.59,     3,19.97,     1, ,     2,53.60,
w13,Pearce Prod 1,  2009,     9,19.68,     3,19.41,     3,9.28,, ,     3,26.44,
w13,Pearce Prod 1,  2010,    12,7.96,     3,6.09,     3,6.51,     3,7.39,     3,10.91,
w13,Pearce Prod 1,  2011,    12,34.99,     3,6.12,     3,3.21,     3,35.68,     3,59.79,
w13,Pearce Prod 1,  2012,    12,90.46,     3,6.42,     3,64.50,     3,130.75,     3,106.92,
w13,Pearce Prod 1,  2013,    11,73.63,     3,72.55,     3,55.60,     3,99.89,     2,48.12,
w13,Pearce Prod 1,  2014,     7,37.23,     1, ,, ,     3,55.73,     3,11.14,
w13,Pearce Prod 1,  2015,    13,16.12,     3,19.86,     4,18.28,     3,14.55,     3,8.66,
w14,Cypress,All Years,   288,10.55,,,,,,,,,
w14,Cypress,  1990,     3,16.13,, ,, ,, ,     3,16.13,
w14,Cypress,  1991,     9,10.43,     1, ,     3,9.02,     3,15.24,     2,2.64,
w14,Cypress,  1992,    13,12.77,     3,1.73,     3,10.08,     3,16.07,     4,16.05,
w14,Cypress,  1993,    12,9.06,     2,2.20,     3,2.03,     4,10.60,     3,13.09,
w14,Cypress,  1994,    12,12.04,     3,10.85,     3,18.07,     3,11.33,     3,2.69,
w14,Cypress,  1995,    12,5.89,     3,2.25,     3,0.95,     3,9.79,     3,6.08,
w14,Cypress,  1996,    12,5.73,     3,6.62,     3,5.20,     3,5.36,     3,5.64,
w14,Cypress,  1997,    12,11.36,     3,10.28,     3,10.72,     3,12.33,     3,11.99,
w14,Cypress,  1998,    12,9.84,     3,9.88,     3,11.21,     3,11.36,     3,5.88,
w14,Cypress,  1999,    12,12.02,     3,6.25,     3,12.34,     3,15.20,     3,12.47,
w14,Cypress,  2000,    11,11.93,     3,7.40,     3,12.82,     3,12.82,     2,14.41,
w14,Cypress,  2001,    12,8.23,     3,10.21,     3,6.23,     3,7.90,     3,8.08,
w14,Cypress,  2002,    12,8.44,     3,6.37,     3,7.62,     3,10.93,     3,8.18,
w14,Cypress,  2003,    12,9.54,     3,12.35,     3,9.04,     3,7.12,     3,8.88,
w14,Cypress,  2004,    12,10.27,     3,8.04,     3,8.51,     3,12.01,     3,11.86,
w14,Cypress,  2005,     7,13.02,     2,13.27,, ,     2,13.13,     3,12.77,
w14,Cypress,  2006,     9,13.83,     3,7.10,     3,17.59,     1, ,     2,15.91,
w14,Cypress,  2007,    11,16.23,     2,9.97,     3,16.29,     3,16.14,     3,19.32,
w14,Cypress,  2008,    10,10.34,     3,6.32,     3,12.12,     1, ,     3,11.53,
w14,Cypress,  2009,    12,8.55,     3,6.36,     3,0.55,     3,13.48,     3,8.38,
w14,Cypress,  2010,    11,8.20,     3,8.24,     3,7.85,     3,9.02,     2,7.33,
w14,Cypress,  2011,    12,7.48,     3,7.42,     3,8.03,     3,7.59,     3,6.83,
w14,Cypress,  2012,    12,10.21,     3,8.61,     3,9.90,     3,12.04,     3,9.98,
w14,Cypress,  2013,    13,10.55,     3,8.73,     3,12.35,     3,11.47,     4,9.56,
w14,Cypress,  2014,    12,5.53,     3,2.69,     3,3.94,     3,6.95,     3,7.17,
w14,Cypress,  2015,    11,14.80,     3,12.96,     3,13.14,     3,17.30,     2,15.62,
w15,San Carlos,All Years,   195,5.94,,,,,,,,,
w15,San Carlos,  2000,    12,12.84,     3,3.28,     3,4.05,     3,19.12,     3,16.31,
w15,San Carlos,  2001,    12,8.85,     3,2.78,     3,1.82,     3,13.85,     3,10.52,
w15,San Carlos,  2002,    12,3.38,     3,3.37,     3,4.52,     3,2.80,     3,2.48,
w15,San Carlos,  2003,    12,3.09,     3,1.16,     3,2.61,     3,2.02,     3,5.10,
w15,San Carlos,  2004,    12,5.81,     3,8.48,     3,4.63,     3,4.81,     3,4.29,
w15,San Carlos,  2005,    12,4.59,     3,3.87,     3,4.60,     3,4.44,     3,5.33,
w15,San Carlos,  2006,    12,4.00,     3,4.29,     3,4.18,     3,3.20,     3,4.23,
w15,San Carlos,  2007,    11,4.28,     3,4.72,     3,2.64,     2,3.79,     3,5.32,
w15,San Carlos,  2008,    11,2.34,     3,2.83,     3,3.02,     2,1.23,     3,1.41,
w15,San Carlos,  2009,    12,2.20,     3,2.28,     3,0.24,     3,1.64,     3,3.38,
w15,San Carlos,  2010,    12,0.86,     3,0.90,     3,0.40,     3,1.19,     3,0.76,
w15,San Carlos,  2011,    12,3.67,     3,0.84,     3,0.60,     3,4.32,     3,5.83,
w15,San Carlos,  2012,    12,5.91,     3,1.02,     3,2.16,     3,6.16,     3,9.81,
w15,San Carlos,  2013,    12,4.97,     3,7.66,     3,3.39,     3,4.35,     3,3.11,
